,datetime,close,RSI,RSI_SMA,Signal,ltp
8093,2023-11-12 19:15:00,19525.55,72.67,45.18,Sell,215.28
8137,2023-11-20 15:15:00,19694.15,27.95,44.28428571428572,Buy,217.26
8146,2023-11-21 15:15:00,19785.0,75.11,50.86357142857143,Sell,218.45
8264,2023-12-12 15:15:00,20908.4,27.76,54.10285714285714,Buy,231.05
8275,2023-12-14 16:15:00,21195.25,71.19,52.00857142857144,Sell,234.99
8311,2023-12-20 16:15:00,21101.5,24.79,48.85642857142857,Buy,232.19
8323,2023-12-22 10:15:00,21368.9,72.15,35.637142857142855,Sell,235.47
8410,2024-01-08 15:15:00,21508.95,28.92,49.260714285714286,Buy,237.8
8434,2024-01-11 12:15:00,21673.85,70.45,50.83571428571428,Sell,238.85
8468,2024-01-17 10:15:00,21740.7,28.98,58.96642857142857,Buy,240.83
8490,2024-01-19 14:15:00,21619.75,70.8,42.43928571428571,Sell,238.6
8503,2024-01-23 13:15:00,21311.75,26.24,56.91857142857143,Buy,236.25
8531,2024-01-29 14:15:00,21741.55,79.68,60.59285714285715,Sell,239.82
8578,2024-02-05 16:15:00,21761.3,24.65,53.875,Buy,240.78
8590,2024-02-07 10:15:00,21963.25,74.31,50.76571428571428,Sell,243.05
8681,2024-02-22 10:15:00,21927.05,22.97,51.540000000000006,Buy,243.0
8694,2024-02-23 14:15:00,22213.25,76.21,50.28857142857142,Sell,245.8
8702,2024-02-26 13:15:00,22153.95,26.72,57.09428571428572,Buy,245.17
8735,2024-03-01 10:15:00,22208.7,76.67,42.38,Sell,245.24
8781,2024-03-11 14:15:00,22323.7,26.16,57.943571428571424,Buy,248.01
8848,2024-03-21 09:15:00,22068.1,72.62,37.87214285714286,Sell,243.41
8962,2024-04-12 14:15:00,22515.85,24.59,47.79285714285714,Buy,249.99
8998,2024-04-22 13:15:00,22292.0,80.52,50.77142857142858,Sell,246.82
9094,2024-05-09 09:15:00,22194.4,28.99,36.99357142857143,Buy,247.0
9126,2024-05-14 14:15:00,22222.05,87.03,60.07071428571429,Sell,246.9
9215,2024-05-29 15:15:00,22707.55,16.97,41.762142857142855,Buy,252.34
9235,2024-06-03 08:15:00,23337.9,80.28,34.580714285714286,Sell,258.33
9250,2024-06-04 14:15:00,21949.7,24.51,59.62357142857143,Buy,251.45
9261,2024-06-05 16:15:00,22573.0,81.51,37.44428571428572,Sell,252.43
9516,2024-07-22 08:15:00,24445.75,28.96,52.587857142857146,Buy,271.99
9556,2024-07-26 12:15:00,24775.55,70.47,51.78857142857142,Sell,273.96
9594,2024-08-02 13:15:00,24770.55,19.23,53.56857142857143,Buy,276.3
9645,2024-08-12 10:15:00,24434.8,71.56,55.847142857142856,Sell,270.88
9660,2024-08-13 16:15:00,24141.2,19.47,43.51714285714286,Buy,269.5
9673,2024-08-16 11:15:00,24419.8,70.61,35.941428571428574,Sell,270.58
9797,2024-09-06 09:15:00,24921.1,25.76,38.112142857142864,Buy,280.18
9814,2024-09-10 08:15:00,24999.4,70.27,36.00857142857143,Sell,278.54
9935,2024-09-30 11:15:00,25895.15,18.59,61.88357142857143,Buy,289.5
9986,2024-10-09 08:15:00,25065.8,83.33,42.41142857142857,Sell,279.76
10033,2024-10-17 09:15:00,24831.95,24.5,53.94357142857143,Buy,278.77
10154,2024-11-06 13:15:00,24484.7,75.77,43.25142857142857,Sell,273.63
10167,2024-11-08 08:15:00,24207.7,23.36,60.26571428571429,Buy,270.07
10244,2024-11-22 13:15:00,23844.95,71.37,41.69642857142857,Sell,264.9
10272,2024-11-28 13:15:00,23958.9,28.05,47.285714285714285,Buy,268.3
10285,2024-12-02 08:15:00,24140.85,70.75,41.00928571428572,Sell,268.72
10363,2024-12-12 14:15:00,24549.9,28.48,48.70642857142857,Buy,274.29
10382,2024-12-16 15:15:00,24663.1,75.28,58.715,Sell,275.59
