,Unnamed: 0,datetime,close,RSI,RSI_SMA,Signal,ltp
6661,6661,2023-03-06 14:15:00,17709.35,74.72,78.26285714285713,Sell,193.64
6692,6692,2023-03-13 09:15:00,17455.6,28.4,23.821428571428573,Buy,190.89
6708,6708,2023-03-14 16:15:00,17068.65,24.77,22.095714285714287,Buy,188.46
6818,6818,2023-04-03 10:15:00,17324.3,73.74,82.5207142857143,Sell,190.16
6839,6839,2023-04-06 13:15:00,17575.6,71.99,78.37928571428573,Sell,193.06
6864,6864,2023-04-13 10:15:00,17747.6,71.68,75.51642857142858,Sell,194.5
6941,6941,2023-04-26 15:15:00,17825.5,67.99,70.07142857142857,Sell,194.69
6953,6953,2023-04-28 09:15:00,17889.2,67.78,75.62071428571429,Sell,196.35
6960,6960,2023-04-28 16:15:00,18049.55,74.81,79.98571428571428,Sell,
6968,6968,2023-05-02 15:15:00,18141.5,75.72,76.35571428571428,Sell,198.3
7092,7092,2023-05-24 11:15:00,18341.05,73.68,74.47357142857143,Sell,201.25
7120,7120,2023-05-29 12:15:00,18595.8,80.83,81.74714285714286,Sell,204.27
7191,7191,2023-06-08 11:15:00,18701.35,65.78,73.1907142857143,Sell,205.76
7222,7222,2023-06-14 14:15:00,18758.4,65.65,70.57571428571428,Sell,205.95
7288,7288,2023-06-26 08:15:00,18682.35,30.98,30.21642857142857,Buy,204.98
7290,7290,2023-06-26 10:15:00,18667.0,28.49,27.97714285714286,Buy,205.05
7330,7330,2023-07-04 09:15:00,19325.35,75.23,89.485,Sell,212.79
7491,7491,2023-07-28 16:15:00,19638.0,34.87,32.544285714285714,Buy,
7506,7506,2023-08-01 13:15:00,19737.55,65.21,66.26285714285714,Sell,217.35
7524,7524,2023-08-03 13:15:00,19310.9,23.14,22.47,Buy,213.44
7703,7703,2023-09-05 10:15:00,19577.9,72.47,72.91499999999999,Sell,215.98
7710,7710,2023-09-06 08:15:00,19581.2,73.11,74.33642857142857,Sell,215.84
7742,7742,2023-09-11 13:15:00,19944.55,77.62,78.80857142857143,Sell,219.8
7777,7777,2023-09-15 12:15:00,20169.0,69.66,69.98857142857143,Sell,222.54
7786,7786,2023-09-18 12:15:00,20169.35,68.05,68.68357142857143,Sell,222.3
7803,7803,2023-09-22 10:15:00,19763.25,18.58,9.581428571428573,Buy,216.9
7917,7917,2023-10-12 15:15:00,19793.95,82.35,83.03785714285716,Sell,218.73
7987,7987,2023-10-25 13:15:00,19174.35,23.35,15.126428571428573,Buy,211.0
7999,7999,2023-10-26 16:15:00,18848.5,21.15,21.118571428571425,Buy,210.6
8017,8017,2023-10-30 16:15:00,19148.85,66.53,69.15357142857142,Sell,212.07
8049,8049,2023-11-06 11:15:00,19346.9,78.92,79.03714285714285,Sell,213.7
8118,8118,2023-11-16 14:15:00,19730.65,65.78,78.10214285714287,Sell,218.7
8186,8186,2023-11-30 09:15:00,20047.35,80.2,81.96142857142857,Sell,221.9
8215,8215,2023-12-05 11:15:00,20776.7,84.65,86.51357142857144,Sell,229.74
8222,8222,2023-12-06 09:15:00,20898.8,77.68,85.62928571428573,Sell,230.89
8285,8285,2023-12-18 08:15:00,21434.8,78.42,78.7707142857143,Sell,235.89
8288,8288,2023-12-18 11:15:00,21460.3,80.03,81.88785714285714,Sell,236.84
8320,8320,2023-12-21 16:15:00,21283.0,34.87,32.822857142857146,Buy,234.7
8335,8335,2023-12-26 13:15:00,21430.1,68.25,72.19,Sell,236.84
8347,8347,2023-12-27 16:15:00,21648.95,73.65,74.72214285714286,Sell,239.55
8353,8353,2023-12-28 13:15:00,21751.25,77.67,80.30285714285715,Sell,240.09
8457,8457,2024-01-16 08:15:00,22080.5,80.29,85.15928571428572,Sell,243.41
8478,8478,2024-01-18 11:15:00,21521.8,27.68,25.74642857142857,Buy,237.57
8512,8512,2024-01-24 13:15:00,21340.7,34.74,29.335000000000004,Buy,235.6
8538,8538,2024-01-30 12:15:00,21675.85,75.84,77.59642857142856,Sell,239.88
8648,8648,2024-02-16 13:15:00,22045.35,75.71,77.76857142857143,Sell,243.92
8653,8653,2024-02-19 09:15:00,22065.15,75.62,83.53928571428571,Sell,244.19
8748,8748,2024-03-05 08:15:00,22371.25,78.1,89.99357142857143,Sell,247.36
8887,8887,2024-04-01 11:15:00,22462.2,68.48,70.50785714285715,Sell,248.81
8942,8942,2024-04-09 12:15:00,22683.55,69.2,72.64071428571428,Sell,251.4
8975,8975,2024-04-18 08:15:00,22212.35,23.94,19.56928571428572,Buy,246.39
8985,8985,2024-04-19 09:15:00,21884.75,34.69,28.412857142857145,Buy,242.14
9006,9006,2024-04-23 12:15:00,22382.45,68.04,70.86214285714286,Sell,248.0
9101,9101,2024-05-09 16:15:00,21968.15,28.38,28.335,Buy,244.01
9195,9195,2024-05-24 14:15:00,22958.35,78.57,87.82071428571429,Sell,255.45
9224,9224,2024-05-30 15:15:00,22519.05,24.42,20.314285714285717,Buy,250.8
9272,9272,2024-06-07 09:15:00,22980.25,72.88,73.20285714285714,Sell,252.99
9276,9276,2024-06-07 13:15:00,23243.7,74.24,75.50857142857141,Sell,257.1
9278,9278,2024-06-07 15:15:00,23288.1,73.27,74.54071428571429,Sell,258.38
9286,9286,2024-06-10 14:15:00,23262.15,74.02,82.89785714285713,Sell,259.0
9379,9379,2024-06-26 16:15:00,23840.25,79.25,82.38571428571429,Sell,264.59
9387,9387,2024-06-27 15:15:00,24072.2,78.7,79.26142857142857,Sell,266.95
9485,9485,2024-07-15 13:15:00,24594.45,68.46,69.96642857142857,Sell,273.71
